2020-2021 NBA Player Stats | NBAstuffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Nicolas Batum,Lac,G-F,32.04,4,27.4,57.1,11.5,17.7,3,1,9,0.667,13,0.308,0.545,0.579,6.8,6.8,14.3,3.5,17.4,1,0.25,1.25,6.9,114.4,103.8
,Aron Baynes,Tor,C-F,34.06,3,23.4,48.7,19,12.5,0,0,17,0.588,11,0.182,0.464,0.464,8.7,7.3,16.1,0.7,4.6,0,0,1.33,6.1,87.5,96
,Kent Bazemore,Gol,G-F,31.5,2,7.8,16.1,15.2,33.3,0,0,3,0.333,1,0,0.25,0.25,1,1,6.4,1.5,26.8,0.5,0,1,7.8,74.8,98
,Darius Bazley,Okc,F-G,20.55,3,31.6,65.8,17.7,12.5,2,0.5,21,0.476,13,0.231,0.426,0.43,10,9,15,1,4.4,0.33,1.67,1.67,7.2,89.9,105.6
,Bradley Beal,Was,G,27.51,4,37.2,77.4,35.3,12.5,39,0.872,70,0.543,25,0.24,0.495,0.571,32,4.5,6.5,4.5,20.7,2,0.5,4,9.1,101.1,106
,Malik Beasley,Min,G,24.09,4,29.5,61.4,24.4,5.7,14,0.857,36,0.528,24,0.25,0.467,0.514,17,4.8,8.4,1,5.6,0.75,0,1,7.1,96.6,107.1
,DeAndre' Bembry,Tor,G-F,26.49,2,5.6,11.6,15,50,0,0,2,0.5,0,0,0.5,0.5,1,0.5,4.6,0,0,0,0.5,1,6.6,90.1,103.3
,Davis Bertans,Was,F,28.13,4,21.4,44.5,19.4,2.5,17,0.824,3,0.667,29,0.345,0.531,0.608,12,2.5,6.2,1.3,7.9,0.5,0.5,0.25,6.3,124.1,104.1
,Patrick Beverley,Lac,G,32.47,4,21.9,45.6,15.6,16.3,4,0.75,7,0.429,17,0.471,0.625,0.641,8.3,3.3,8.6,1,6.6,0.75,0,1.25,6.3,117,102
,Saddiq Bey,Det,F,20,3,17.1,35.7,20.8,3.9,6,0.667,8,0.125,14,0.357,0.386,0.426,7,4,12.5,0.3,2.8,0,0,0.33,4.6,78.7,96.2
,Khem Birch,Orl,C,28.25,4,16.2,33.8,16.2,7.8,8,0.875,20,0.5,0,0,0.5,0.574,6.8,4,12.9,0.8,6.1,0.75,0.25,0.5,6.7,123,97.3
,Bismack Biyombo,Cha,C,28.34,3,28.1,58.5,13.1,14.9,11,0.364,18,0.667,0,0,0.667,0.613,9.3,6.3,11.6,1.7,8.2,0,1.33,1.33,6.7,113.2,101.8
,Nemanja Bjelica,Sac,F,32.64,4,15.9,33.2,20.6,6.5,9,0.889,19,0.526,6,0.5,0.58,0.639,9.3,3.3,11.4,1.8,17.2,0,0.25,0.5,9.4,110.7,96.8
,Eric Bledsoe,Nor,G,31.06,4,30.1,62.6,18,19.9,5,0.6,17,0.471,21,0.286,0.447,0.46,9.3,1.5,2.8,3.5,18.1,1,0.5,2.5,6.2,90.9,104.2
,Bogdan Bogdanovic,Atl,G,28.36,3,29.2,60.8,18.6,12.8,5,0.8,8,0.5,24,0.375,0.547,0.57,13,7,12.5,3,14.8,0.67,0.33,1.67,8.9,105.1,103.7
,Bojan Bogdanovic,Uta,F,31.7,3,34,70.8,21.3,7.5,5,1,22,0.273,25,0.4,0.447,0.478,15.7,5.3,8.2,1.3,5.7,0.67,0.33,1.33,5.6,97.6,104.7
,Bol Bol,Den,C-F,21.12,3,4.8,9.9,12,0,0,0,2,0,2,0,0,0,0,0.3,4.1,0,0,0,0.33,0,7.7,96.4,103.1
,Isaac Bonga,Was,G,21.14,4,17.7,36.8,8.9,19.4,1,0,4,0.75,8,0.625,0.875,0.844,5.3,3.5,10.6,1.3,9.2,0.5,0.75,0.75,6.5,132.1,100.2
,Devin Booker,Pho,G,24.17,4,33.3,69.4,29.9,23.1,13,0.769,38,0.553,26,0.308,0.516,0.545,19,4.8,7.8,3.5,16.8,1.75,0.25,5.25,9.2,98.6,96.4
,Chris Boucher,Tor,F-C,27.97,3,15.9,33.1,23.5,7.4,2,0.5,18,0.667,6,0.5,0.688,0.683,11.3,5.3,17.3,0.3,4.4,0,3,0.67,8,110.1,86.8
,Avery Bradley,Mia,G,30.09,2,26.4,55,17.1,14.8,3,0.667,5,0.6,11,0.545,0.75,0.751,13,2,4.6,2.5,14.7,1.5,0,1.5,5.6,102.8,107.6
,Tony Bradley,Phi,C-F,22.89,1,17.4,36.3,18,0,1,0,7,0.286,0,0,0.286,0.269,4,8,24.4,1,8.8,0,2,0,7.5,116.9,93.2
,Mikal Bridges,Pho,F,24.33,4,32.3,67.2,15.2,0,8,1,19,0.632,22,0.455,0.659,0.696,15.5,6,10.2,0.5,2.3,0.75,1.5,0,5.8,122.6,101.5
,Miles Bridges,Cha,F,22.78,3,24.3,50.6,17.5,12.9,0,0,13,0.462,14,0.429,0.556,0.556,10,5.3,11.2,1.3,7.8,1,1.33,1.33,9.1,106.3,99.3
,Malcolm Brogdon,Ind,G,28.05,4,33.7,70.1,24.4,11.6,8,0.875,41,0.634,24,0.333,0.585,0.606,20.8,4.3,7.2,6.5,27,1.25,0,2.25,9.9,116.1,107.9
,Dillon Brooks,Mem,G-F,24.94,3,33,68.8,28.1,13.4,5,1,38,0.474,18,0.333,0.482,0.507,19.7,4.3,6.6,4,19.6,2.33,0,3,9.4,102.3,91.4
,Jaylen Brown,Bos,G-F,24.18,4,34,70.9,28.4,5.5,25,0.64,60,0.583,15,0.267,0.547,0.57,24.5,4.3,7.2,3.3,16.7,2,0.75,1.25,8.3,116,105.7
,Troy Brown Jr.,Was,G-F,21.43,4,17.5,36.5,11.7,20,0,0,6,0.5,10,0.3,0.469,0.469,3.8,3,9.1,1.3,9,0,0,1,7.1,98.9,99.9
,Jalen Brunson,Dal,G,24.33,3,15.1,31.5,26.6,22.4,4,1,13,0.769,6,0.167,0.605,0.65,9,2,7.4,2.7,29.8,0,0,2,9.7,107.5,103.5
,Thomas Bryant,Was,C-F,23.42,4,30.4,63.3,19.4,12.1,6,0.333,36,0.611,12,0.333,0.583,0.573,14.5,5.8,10.1,2,9.9,0.25,1,1.75,8.5,112.2,99
,Reggie Bullock,Nyk,G-F,29.79,4,27.7,57.8,15.7,9.8,4,0.75,12,0.333,23,0.435,0.543,0.558,10.3,3.5,6.6,1.3,6.8,0.5,0.25,1,5.3,103.1,93.1
,Trey Burke,Dal,G,28.13,3,20.5,42.8,16.7,8.8,4,0.75,9,0.444,10,0.6,0.684,0.698,9.7,1,2.7,1,7.3,0.33,0.33,0.67,5.8,119.5,105.6
,Alec Burks,Nyk,G,29.45,3,27.6,57.6,24.7,14.6,20,0.9,17,0.412,15,0.667,0.688,0.76,20.7,3.7,6.9,3.7,22.8,1,0.67,2.33,9.5,131.3,92.7
,Bruno Caboclo,Hou,F,25.27,2,11.6,24.1,26.7,28.6,0,0,6,0.5,4,0,0.3,0.3,3,3.5,17.3,0,0,0,0.5,2,7.5,94.6,89.2
,Kentavious Caldwell-Pope,Lal,G,27.86,4,24.8,51.6,13.2,16.1,7,0.857,9,0.667,14,0.5,0.717,0.748,9.8,1.3,2.8,1.3,6.3,1,0.75,1.25,4.9,129.5,100
,Facundo Campazzo,Den,G,20,4,7.3,15.3,18.6,39.6,6,0.833,1,0,4,0.25,0.3,0.524,2,0.5,4,1.3,20.1,0.5,0,1.25,5,76.3,91.6
,Clint Capela,Atl,C,26.62,1,19.9,41.5,12.3,0,2,0.5,5,0.6,0,0,0.6,0.595,7,9,23.6,1,7.3,0,2,0,8.3,111.1,101.2
,Jevon Carter,Pho,G,25.29,4,12.5,26,16.7,5.3,0,0,5,0.4,13,0.077,0.194,0.194,1.8,1.3,5.5,0.8,7.7,0.5,0,0.25,5.4,81.4,100.3
,Wendell Carter Jr.,Chi,C-F,21.71,4,29.7,61.9,16.6,18.4,18,0.667,26,0.615,6,0.167,0.547,0.589,11.8,9.3,17,2.8,14.3,0,0.5,2.25,9.1,106.6,97
,Michael Carter-Williams,Orl,G,29.22,4,21,43.7,12.2,24.1,2,0.5,14,0.643,4,0.25,0.583,0.583,5.5,5,12.5,1.8,10.5,1,0.5,1.5,8.3,94.8,101
,Alex Caruso,Lal,G,26.84,3,13.5,28.2,16.6,31.3,0,0,3,0.667,8,0.5,0.727,0.727,5.3,1.7,6.9,1,9.4,0.67,0,1.67,6.3,94,98.3
,Willie Cauley-Stein,Dal,C,27.37,3,12.7,26.5,13.4,8.8,3,1,8,0.5,1,0,0.444,0.533,3.7,3.3,14.7,1,10.8,0.67,0.67,0.33,7.5,117.6,94.7
,Marquese Chriss,Gol,F,23.5,2,13.4,27.8,26.2,11.3,4,0.5,9,0.444,5,0.2,0.393,0.412,6.5,6.5,24.2,1,12.5,0,1,1,11.1,94,94.6
,Gary Clark,Orl,F,26.12,1,9.1,19,13.6,33.3,0,0,0,0,2,0,0,0,0,3,17.3,1,12,0,0,1,4.8,51.6,94.9
,Brandon Clarke,Mem,F-G,24.28,3,25,52,18,3.1,8,0.375,24,0.5,4,0.25,0.482,0.476,10,4.3,8.7,1,5.8,0.33,0.33,0.33,6,106.8,103.1
,Jordan Clarkson,Uta,G,28.56,3,23.6,49.2,27.4,8.4,10,0.9,22,0.545,17,0.412,0.577,0.622,18,4.7,10.3,1,7.3,0.33,0.33,1.33,6.5,115.3,101.5
,Amir Coffey,Lac,G-F,23.54,4,7.6,15.8,13,0,2,0.5,4,0.25,4,0.25,0.313,0.338,1.5,0.5,3.8,0.8,13,0,0,0,4.1,80.3,113.2
,John Collins,Atl,F-C,23.27,3,23.8,49.7,20.8,11.2,13,1,20,0.65,6,0.167,0.558,0.662,14,6.3,13.9,1.3,8.7,0.33,1.67,1.33,9.3,117.7,92.9
,Mike Conley,Uta,G,33.22,3,31.8,66.3,24.3,14.1,13,0.769,23,0.522,20,0.4,0.558,0.595,19.3,6.3,10.3,5,24.6,0.67,0.33,2.67,9.6,119.6,98.7
,Pat Connaughton,Mil,G,27.98,4,17.6,36.6,10.5,5.6,0,0,6,0.5,11,0.273,0.441,0.441,3.8,3.3,10,1.8,11.2,0.25,0.5,0.25,5.6,97.2,110.1
,Quinn Cook,Lal,G,27.77,3,4.1,8.5,22,0,1,1,3,0.667,3,0,0.333,0.388,1.7,0.3,4.5,0.7,21,0,0,0,8,113.3,102.2
,Robert Covington,Por,F,30.04,3,32.6,67.8,10.2,8.8,4,0.75,6,0.667,13,0.077,0.289,0.337,4.7,6,10.1,1.7,6.4,2,0.67,0.67,5.4,99.4,108.1
,Torrey Craig,Mil,F,30.03,2,6.3,13,6.6,50,0,0,1,0,0,0,0,0,0,2,17.2,1,16.3,0,0.5,0.5,6,91.6,101.3
,Jae Crowder,Pho,F,30.49,4,26.4,54.9,16.9,4.9,6,0.833,11,0.545,25,0.36,0.542,0.569,11,5.5,11.4,2.5,13.5,0.5,0,0.5,7.7,107.8,104.3
,Jarrett Culver,Min,G-F,21.86,4,23.8,49.6,18.5,13.9,7,0.714,23,0.391,11,0.273,0.397,0.431,8,7.5,16.4,0.5,3,0.75,0.5,1.5,7.1,98.3,103.5
,Seth Curry,Phi,G,30.35,4,29.8,62.1,16,13.3,12,1,14,0.571,20,0.45,0.632,0.7,13.8,2.8,4.9,3.8,20.2,1,0.25,1.5,7.1,130.7,97.4
,Stephen Curry,Gol,G,32.79,4,32.7,68,32.7,15.7,26,1,36,0.528,44,0.318,0.5,0.58,26.5,3.8,5.7,7,40.2,1.75,0.5,4.25,10.6,105.3,105.1
,Anthony Davis,Lal,F-C,27.81,3,33,68.8,25,15.3,11,0.727,38,0.553,7,0.429,0.567,0.592,19.7,8.3,14.1,4,17.4,1,0,3,10.5,104.9,99.3
,Ed Davis,Min,C-F,31.57,3,8.5,17.7,12.8,25,0,0,6,0.333,0,0,0.333,0.333,1.3,4.3,26.5,0.7,10.5,0,0.67,0.67,5.3,90.3,94.6
,Terence Davis,Tor,G,23.62,1,2.6,5.4,16,100,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,8.6,86,85.3
,DeMar DeRozan,San,G-F,31.4,3,34.1,71.1,23.2,8.7,22,0.909,35,0.486,8,0.375,0.5,0.598,21,5.7,8.2,9,36.2,1,0.67,1.67,12,126.7,105.8
,Donte DiVincenzo,Mil,G,23.91,4,22.5,46.9,18,12.7,1,0,15,0.533,19,0.684,0.809,0.798,13.8,3,7.2,1.5,8.9,1.5,0,1.25,7,132.7,107.9
,Hamidou Diallo,Okc,G,22.42,3,20.5,42.7,22.6,18.1,7,0.571,23,0.522,1,0,0.5,0.517,9.3,6.7,17.1,1,7.4,1.33,0.67,2,8.2,90.3,99
,Gorgui Dieng,Mem,C,30.95,3,10.9,22.6,22.9,16.7,0,0,7,0.571,8,0.375,0.567,0.567,5.7,2.7,12.4,0.7,9.5,0.67,1,1,7.2,88.9,89.8
,Spencer Dinwiddie,Bro,G,27.73,3,21.4,44.7,15.5,21.2,6,1,9,0.444,7,0.286,0.438,0.536,6.7,4.3,10,3,19.6,0.67,0.33,1.67,8.8,96.9,92.6
,Luka Doncic,Dal,F-G,21.84,3,32,66.7,38.5,7.3,29,0.862,47,0.553,16,0.125,0.46,0.548,27.7,7,12.3,6.7,38.5,0.33,0.33,2,13.3,108.8,105.6
,Luguentz Dort,Okc,G,21.7,3,31.7,66.1,19.2,4.6,10,0.7,18,0.611,19,0.474,0.662,0.676,18.7,3.7,6.1,1,4.9,1,0.33,0.67,5.2,129.7,102.1
,Damyean Dotson,Cle,G,26.65,3,18.6,38.7,10,15.4,0,0,3,0.667,8,0.25,0.455,0.455,3.3,1.3,3.9,1,6.8,0.67,0,0.67,5.5,97.1,107.7
,Sekou Doumbouya,Det,F,20.02,4,10.7,22.3,21.7,0,5,0.8,16,0.313,4,0.25,0.325,0.383,4.3,3.5,17.5,0.3,3.5,0.25,0,0,6.2,91.5,100
,PJ Dozier,Den,G-F,24.18,4,17.5,36.5,14.3,12.9,3,0.667,14,0.5,5,0.6,0.605,0.615,6.3,4,13.5,1,7.7,0.25,1.25,0.75,6.7,116.3,106.1
,Goran Dragic,Mia,G,34.65,3,20.9,43.6,26.4,18.7,10,0.9,18,0.778,8,0.125,0.596,0.658,13.3,2,5.9,5.7,47.2,1.67,0,2.33,9.9,121.9,110
,Andre Drummond,Cle,C,27.39,4,32.5,67.7,31.7,14.5,28,0.536,66,0.485,4,0,0.457,0.48,19.8,15.3,25.5,3.5,17.5,2.75,2.75,3.5,12.4,95.8,90.5
,Jared Dudley,Lal,F,35.47,2,5.1,10.5,4.2,0,0,0,0,0,1,1,1.5,1.5,1.5,2.5,27.6,0,0,0,0,0,0,259.9,101.1
,Kevin Durant,Bro,F,32.25,3,31.6,65.8,28.4,9.4,25,0.84,34,0.471,13,0.692,0.628,0.69,26.7,4,6.3,3.3,19.4,1.67,0.67,2,9.2,122.7,91.6
,Anthony Edwards,Min,G,20,4,25.2,52.4,24.3,3.4,6,1,31,0.484,24,0.333,0.491,0.52,15,2.3,4.7,1.8,11.7,0.75,0.25,0.5,6.6,93.2,105.1
,Carsen Edwards,Bos,G,22.8,1,2.5,5.2,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,63.9,100.5
,CJ Elleby,Por,F-G,20,1,4.5,9.4,19.5,0,0,0,1,1,1,0,0.5,0.5,2,2,24.3,1,35.3,0,0,0,4.2,58.4,106.8
,Wayne Ellington,Det,G,33.09,1,20.6,42.9,23.2,8.7,1,1,3,0.667,7,0.286,0.5,0.527,11,1,2.6,0,0,0,0,1,3,92.6,100.8
,Joel Embiid,Phi,C-F,26.79,3,34.5,71.8,31.3,11.7,32,0.844,43,0.535,11,0.364,0.537,0.624,28.3,13.3,20.5,2.7,15.3,1,1.33,3,11.8,117.7,91.9
,Dante Exum,Cle,G,25.47,3,17.5,36.5,12.2,13.3,0,0,8,0.625,5,0,0.385,0.385,3.3,2.7,8.3,4,29.8,1,0.33,0.67,8.5,100.4,98.5
,Derrick Favors,Uta,F,29.46,3,15.1,31.5,15.1,17.9,4,0.75,12,0.75,0,0,0.75,0.763,7,5.3,18.3,1.7,17,0.67,0,1,10.3,138.7,86.1
,Terrance Ferguson,Phi,G,22.62,1,7.1,14.8,11.8,0,0,0,0,0,2,0,0,0,0,0,0,1,18.4,0,0,0,0,16.6,88.7
,Bruno Fernando,Atl,F-C,22.38,3,15.3,31.9,12.1,45,3,0.667,6,0.667,0,0,0.667,0.683,3.3,7.3,25,1.3,11.5,0.67,0.33,2,8,108,91.9
,Dorian Finney-Smith,Dal,F,27.66,3,27.7,57.8,14.5,3.7,4,1,8,0.625,16,0.313,0.521,0.563,9.7,3.7,7.4,1.3,6.7,1.67,0,0.33,5.2,114.6,99.1
,Bryn Forbes,Mil,G,27.44,4,15.5,32.3,15.8,4.2,2,0.5,9,0.444,13,0.385,0.523,0.524,6,0.8,2.6,0.3,1.9,0,0,0.25,2.9,101.1,110.3
,Evan Fournier,Orl,G-F,28.17,4,29.8,62.1,20.9,14.8,22,0.864,21,0.667,21,0.381,0.619,0.687,17.8,1.8,3.1,2,9.2,1.75,0,2.25,4.9,109.1,102.8
,De'Aaron Fox,Sac,G,23.03,4,33.8,70.4,27.1,16.2,26,0.808,46,0.457,15,0.4,0.492,0.559,20.3,2.8,4.5,6.8,31.1,1,1,3.5,8.5,97.6,104.2
,Markelle Fultz,Orl,G,22.59,4,30.2,62.8,27.2,10.1,15,0.933,55,0.455,10,0.3,0.454,0.51,18.3,3.8,6.5,5.8,27.9,1,0.25,2,9.7,101.8,103.8
,Daniel Gafford,Chi,F-C,22.25,3,11.8,24.6,14.1,0,10,0.5,8,0.375,0,0,0.375,0.444,3.7,2,9.2,0,0,0,1,0,5.9,89.3,96.3
,Langston Galloway,Pho,G,29.06,4,11.1,23.2,16.7,0,2,1,5,0.6,11,0.455,0.656,0.681,5.8,0.3,1.2,0.5,6.8,0,0,0,5.3,124.6,107.2
,Darius Garland,Cle,G,20.93,4,35.6,74.2,20.9,10.1,6,1,38,0.5,22,0.455,0.567,0.591,18.5,4,6.1,7.8,33.1,1.75,0.25,1.75,8.5,102.6,99.4
,Marc Gasol,Lal,C,35.92,4,17.9,37.3,9.2,31.7,4,0.75,4,0.75,5,0.6,0.833,0.836,4.5,6,18.7,2.3,14.7,0.25,1.5,1.25,8.3,109.3,89.9
,Rudy Gay,San,F-G,34.37,3,25.4,53,23.5,11.5,8,0.75,18,0.611,17,0.235,0.486,0.519,13.3,6,11.6,1.7,9,0.67,1.67,1.67,7.8,100.6,106.9
,Paul George,Lac,F,30.66,4,31.4,65.3,29.1,23.1,14,0.929,28,0.607,29,0.483,0.667,0.705,22.3,4.8,8.8,5.3,29.1,0.5,0.5,4.75,9.7,108.8,109.8
